,Fixed effect,FE lower CI,FE upper CI,n,D_indep,n_indep,share_indep,HHi,var
group85_1,1.9591552283638594,1.9583899700329908,1.959920486694728,5.0,True,2.0,0.4,0.20000000000000004,0.0011784562185518843
group85_2,1.963376138999459,1.962672654525344,1.9640796234735742,5.0,True,1.0,0.2,0.28,0.001591078886480495
group85_3,1.9938696547365653,1.9933005806338704,1.9944387288392602,8.0,True,2.0,0.25,0.15625,0.001463654069684188
group85_4,1.9083039103301653,1.9066273133296232,1.9099805073307075,1.0,True,1.0,1.0,1.0,0.0
group85_5,1.9705411221246838,1.969752517231544,1.9713297270178236,4.0,True,2.0,0.5,0.25,0.0008681800067978296
group85_6,1.966077798863187,1.965013158703202,1.967142439023172,2.0,False,0.0,0.0,0.5,0.0002939932087683668
group85_7,1.967784394763993,1.9670315804873442,1.9685372090406419,4.0,True,1.0,0.25,0.25,0.000561853208159011
group85_8,1.9701031003096432,1.9694297627508357,1.9707764378684507,5.0,True,2.0,0.4,0.28,0.0010200289978436906
group85_9,1.9748728671814428,1.9738082270214579,1.9759375073414278,2.0,False,0.0,0.0,0.5,0.00023018655444432995
group85_10,1.9702310219686783,1.9693617469181321,1.9711002970192244,5.0,True,3.0,0.6,0.3600000000000001,0.0008013044233211029
group85_11,1.967820366951298,1.9671470293924904,1.9684937045101054,7.0,True,1.0,0.14285714285714285,0.22448979591836732,0.0006667154704217531
group85_12,1.9462708100622266,1.94563161344821,1.9469100066762433,9.0,True,5.0,0.5555555555555556,0.20987654320987653,0.0014505232593662889
group85_13,1.9485498530233853,1.9480978727631026,1.949001833283668,13.0,True,2.0,0.15384615384615385,0.242603550295858,0.002292746667393799
group85_14,1.9500237343813096,1.949014541580353,1.9510329271822662,3.0,True,1.0,0.3333333333333333,0.3333333333333333,0.00025024807009120943
group85_15,1.9785955011548626,1.9781626056707693,1.979028396638956,15.0,True,4.0,0.26666666666666666,0.18222222222222223,0.004493508056580099
group85_16,1.9780580863536668,1.977443416070709,1.9786727566366245,6.0,False,0.0,0.0,0.3888888888888889,0.0009165253716182377
group85_17,1.9653270109403587,1.9646536733815512,1.9660003484991662,5.0,False,0.0,0.0,0.3600000000000001,0.0005912911145770455
group85_18,1.961531100225767,1.9606618251752208,1.962400375276313,3.0,True,2.0,0.6666666666666666,0.3333333333333333,0.0006523722389717592
group85_19,1.9485340550457795,1.9476647799952334,1.9494033300963256,4.0,True,2.0,0.5,0.25,0.0004360892211089348
group85_20,1.9328440925804637,1.931338464027166,1.9343497211337615,1.0,True,1.0,1.0,1.0,0.0
group85_21,1.95275079463187,1.951686154471885,1.953815434791855,2.0,True,1.0,0.5,0.5,0.0002741838187349101
group85_22,1.956560661779991,1.9558873242211836,1.9572339993387986,5.0,True,1.0,0.2,0.20000000000000004,0.0006870209049126972
group85_23,1.9647866888570529,1.9642543687770604,1.9653190089370454,8.0,True,2.0,0.25,0.21875,0.0019817844978071452
group85_24,1.9881455834760007,1.9872763084254546,1.9890148585265468,3.0,False,0.0,0.0,0.5555555555555556,0.0001642920545656469
group85_25,1.9584762831001143,1.9578029455413068,1.9591496206589218,6.0,True,1.0,0.16666666666666666,0.16666666666666669,0.0012899474317089302
group85_26,1.9471884920656055,1.9461238519056205,1.9482531322255905,3.0,True,2.0,0.6666666666666666,0.3333333333333333,7.32554989305552e-05
group85_27,1.9657457291815652,1.9646810890215802,1.9668103693415502,3.0,False,0.0,0.0,0.5555555555555556,0.0002304029986572635
group85_28,1.9617577539185012,1.9610049396418523,1.96251056819515,5.0,True,3.0,0.6,0.20000000000000004,0.0008536216724105042
group85_29,1.9775246700517257,1.9764600298917407,1.9785893102117107,2.0,False,0.0,0.0,0.5,0.00021317329461520302
group85_30,1.9746293507369237,1.9735647105769387,1.9756939908969087,2.0,False,0.0,0.0,1.0,1.7085674921681192e-05
group85_31,1.9784323181025822,1.9769266895492845,1.97993794665588,1.0,False,0.0,0.0,1.0,0.0
